selfEmployed,employerTech,healthCoverage,mentalHealthCoverage,formal,age,gender,country
0,1,Not eligible for coverage / N/A,N/A,No,39,Male,United Kingdom
0,1,No,Yes,Yes,29,male,United States of America
0,1,No,N/A,No,38,Male ,United Kingdom
1,,,,,43,male,United Kingdom
0,0,Yes,Yes,No,43,Female,United States of America
0,1,Yes,I am not sure,No,42,Male,United Kingdom
0,1,I don't know,No,No,30,M,United States of America
0,1,Yes,Yes,No,37,female,United States of America
0,0,I don't know,No,No,44,Female,United States of America
1,,,,,30,Male,United States of America
0,1,Yes,I am not sure,Yes,28,Male,United States of America
0,0,Yes,Yes,No,34,Male,United States of America
0,1,Yes,I am not sure,No,30,Female,United States of America
0,0,Yes,Yes,Yes,44,Male,Canada
0,1,Yes,Yes,No,35,Male,United States of America
0,1,I don't know,No,No,52,m,United States of America
0,1,Not eligible for coverage / N/A,No,No,32,I identify as female.,Canada
0,1,No,No,No,34,Male,United Kingdom
1,,,,,25,female ,United States of America
0,0,I don't know,No,No,31,M,United States of America
0,1,No,N/A,No,26,Male,United States of America
0,0,Yes,No,Yes,35,male,United States of America
0,1,Yes,Yes,No,25,male,Germany
0,1,Yes,Yes,No,33,Male,Canada
1,,,,,38,Male,United States of America
0,0,Yes,Yes,I don't know,42,male,Germany
0,0,No,No,No,27,Male,Netherlands
0,1,I don't know,No,No,35,male,Germany
0,0,I don't know,No,Yes,34,female,United Kingdom
0,1,Not eligible for coverage / N/A,N/A,No,32,Bigender,United Kingdom
0,1,Not eligible for coverage / N/A,Yes,No,32,non-binary,Germany
0,1,Yes,Yes,No,30,Male,United States of America
0,1,I don't know,I am not sure,No,31,Male,United States of America
1,,,,,37,Male ,Czech Republic
0,1,Yes,I am not sure,No,36,Male,United Kingdom
0,1,No,No,No,33,Male,Germany
0,1,Yes,I am not sure,No,44,Male,United States of America
0,1,No,Yes,No,29,male,United Kingdom
0,1,No,I am not sure,Yes,29,male,United Kingdom
0,1,Yes,Yes,I don't know,44,Male,Canada
1,,,,,34,Male,United States of America
0,1,Yes,I am not sure,No,40,male,United States of America
0,1,Yes,I am not sure,No,46,Female assigned at birth ,Netherlands
1,,,,,28,M,Lithuania
0,0,No,I am not sure,No,41,Male,United States of America
0,1,Yes,Yes,I don't know,33,male,United States of America
1,,,,,32,Male,United States of America
0,1,I don't know,No,No,45,Male,United States of America
1,,,,,43,male,United Kingdom
0,1,Yes,Yes,No,37,F,United States of America
0,1,No,N/A,No,37,M,Australia
0,1,Yes,Yes,No,27,Male,United States of America
1,,,,,31,Male,Netherlands
0,1,Yes,Yes,No,36,Male,United States of America
0,0,Yes,Yes,No,34,Male,United States of America
0,0,Yes,No,Yes,31,Woman,United States of America
0,1,Yes,Yes,No,30,Male,United States of America
0,0,Yes,Yes,No,32,Male,Canada
0,0,Yes,I am not sure,No,40,female,United States of America
0,0,I don't know,No,No,40,Male,United States of America
0,1,Yes,I am not sure,Yes,41,man,France
0,0,Not eligible for coverage / N/A,N/A,No,27,Male,United Kingdom
0,1,Yes,Yes,No,30,Male,United States of America
1,,,,,29,Male,Venezuela
1,,,,,38,Male,United Kingdom
1,,,,,35,male,Netherlands
0,0,No,Yes,No,35,female,United States of America
0,1,Yes,I am not sure,Yes,29,M,United States of America
0,1,Yes,I am not sure,No,28,Male,United States of America
0,0,No,Yes,No,27,Male,Netherlands
1,,,,,39,Male,Poland
0,1,Yes,I am not sure,No,28,male,Belgium
0,0,I don't know,No,No,46,Male,United States of America
0,1,No,No,No,40,male,Netherlands
0,1,Yes,Yes,No,37,Male,United States of America
0,1,No,N/A,No,41,Male,Netherlands
1,,,,,19,M,France
0,1,I don't know,I am not sure,No,38,F,Netherlands
0,1,I don't know,I am not sure,No,33,Male ,United States of America
0,1,Yes,Yes,No,33,Male,United States of America
0,1,Yes,Yes,No,21,male,United Kingdom
0,1,No,No,No,36,Male,Brazil
1,,,,,39,Male,Canada
0,1,I don't know,I am not sure,No,35,Male,United States of America
1,,,,,36,male,France
0,1,Yes,No,No,45,Male,United States of America
0,1,I don't know,No,No,41,Male,Canada
0,1,I don't know,I am not sure,No,35,Male,United Kingdom
1,,,,,30,Male,United States of America
0,1,I don't know,I am not sure,Yes,24,Female,United States of America
0,0,No,N/A,No,33,Male,Brazil
0,1,Yes,Yes,I don't know,35,male,United States of America
0,1,No,N/A,Yes,26,Male,United Kingdom
0,1,No,N/A,No,17,male,Brazil
0,0,I don't know,I am not sure,No,29,Female,United States of America
0,1,Yes,I am not sure,No,26,Male,United States of America
0,1,I don't know,I am not sure,No,36,female,United States of America
0,1,I don't know,I am not sure,Yes,46,M,United States of America
1,,,,,39,Male,Netherlands
0,1,Yes,Yes,No,28,Female,United States of America
0,1,Yes,No,I don't know,40,Male,United States of America
0,1,I don't know,No,No,23,Male,United States of America
0,1,I don't know,I am not sure,No,30,Male,United States of America
0,1,I don't know,I am not sure,I don't know,28,fm,United States of America
0,1,No,I am not sure,No,27,Male,Netherlands
1,,,,,31,m,United States of America
0,1,Yes,Yes,No,39,f,United States of America
0,1,Yes,Yes,No,34,Female,United States of America
0,1,Yes,Yes,No,30,Male,United States of America
1,,,,,30,male,Denmark
0,0,I don't know,No,No,31,Male,United States of America
0,1,Yes,Yes,Yes,30,M,United States of America
0,1,Yes,I am not sure,No,32,Male,United States of America
1,,,,,22,Male,Czech Republic
1,,,,,37,Female,Belgium
0,0,Yes,Yes,No,51,Male,United States of America
0,0,I don't know,No,No,26,Male,United States of America
0,1,Yes,Yes,Yes,41,f,United States of America
0,1,I don't know,I am not sure,No,39,F,United States of America
0,1,Yes,No,No,43,M,United States of America
0,1,I don't know,I am not sure,No,30,M,United Kingdom
0,1,Yes,Yes,Yes,24,Female,United States of America
1,,,,,30,m,Netherlands
0,0,No,Yes,No,28,Cis female ,Germany
1,,,,,48,Female,United States of America
1,,,,,55,Female,United States of America
0,0,I don't know,No,Yes,36,F,United States of America
1,,,,,38,Male,Netherlands
0,1,I don't know,No,I don't know,34,Male,France
0,1,Yes,No,No,44,Female,United States of America
0,0,I don't know,I am not sure,No,45,Male,United States of America
0,1,Yes,No,No,45,M,United States of America
0,1,No,I am not sure,No,30,male,United States of America
0,0,Yes,No,No,34,Male,United States of America
0,1,I don't know,No,Yes,37,Male,United States of America
0,0,Yes,I am not sure,No,38,Male,United States of America
0,1,Yes,No,No,31,Male,United States of America
0,1,I don't know,I am not sure,No,33,Male,United States of America
0,1,Yes,Yes,No,29,female,United States of America
0,1,Yes,Yes,Yes,35,M,United States of America
0,1,No,Yes,No,42,"Transitioned, M2F",Canada
0,1,I don't know,No,No,26,Female,United States of America
0,1,Yes,No,No,36,f,United States of America
0,1,I don't know,I am not sure,I don't know,21,male,United Kingdom
0,1,Yes,I am not sure,No,34,F,United States of America
1,,,,,40,M,Germany
0,1,Yes,No,No,35,Male,United States of America
0,1,Yes,Yes,No,44,Male,United States of America
0,1,I don't know,No,No,35,Genderfluid (born female),Canada
0,1,No,N/A,No,45,m,United States of America
0,0,Yes,Yes,I don't know,42,m,United States of America
1,,,,,40,Male,United States of America
1,,,,,50,F,United States of America
0,1,Yes,No,I don't know,36,Male,United States of America
1,,,,,31,female,United States of America
0,1,I don't know,No,Yes,29,Male,United States of America
0,1,Yes,No,No,37,Male,United States of America
0,1,No,I am not sure,No,31,m,United States of America
0,0,I don't know,No,No,42,Male,Canada
0,1,Yes,Yes,No,25,Male,United States of America
0,1,Yes,Yes,No,27,Male,United States of America
0,0,Yes,Yes,No,41,Female,United States of America
0,1,Yes,Yes,No,41,Female,United States of America
0,0,Yes,Yes,Yes,55,F,United States of America
0,1,Yes,Yes,Yes,21,Male,United States of America
0,0,I don't know,I am not sure,Yes,37,male,Netherlands
0,0,I don't know,No,No,34,female,Netherlands
0,0,Yes,Yes,No,40,Male,United Kingdom
1,,,,,25,male,Netherlands
0,0,Yes,I am not sure,Yes,36,male,Germany
0,1,No,I am not sure,No,25,Male,Germany
0,1,I don't know,I am not sure,No,35,male,United States of America
0,1,No,I am not sure,No,37,male,United States of America
0,0,Yes,No,No,45,Male,United States of America
0,1,No,N/A,No,26,Male,United States of America
0,1,Yes,I am not sure,No,23,Male,United States of America
0,1,Yes,Yes,No,22,Female,United States of America
0,1,I don't know,I am not sure,No,46,Female,United States of America
0,1,No,N/A,Yes,31,Male,United Kingdom
0,1,Yes,I am not sure,I don't know,27,Male,United States of America
0,1,No,N/A,No,37,male,United Kingdom
0,1,I don't know,I am not sure,No,37,Male,United Kingdom
0,1,Not eligible for coverage / N/A,N/A,Yes,26,Other/Transfeminine,Netherlands
0,1,No,No,No,23,M,Netherlands
0,1,Yes,Yes,No,40,Male,United States of America
0,1,No,No,No,29,M,Denmark
0,1,Yes,Yes,Yes,37,Male,United States of America
0,1,Yes,Yes,I don't know,34,female,United States of America
0,1,Yes,No,No,40,male,United States of America
0,1,Yes,No,No,39,Male,United States of America
0,1,Yes,I am not sure,I don't know,28,Male,United States of America
1,,,,,28,male,Belgium
0,1,No,No,No,27,Male,Germany
1,,,,,48,Male,United Kingdom
0,1,Yes,Yes,No,49,Female,United States of America
0,1,No,I am not sure,No,35,Male,United Kingdom
0,1,I don't know,No,No,35,Male,Sweden
1,,,,,38,Male,United Kingdom
0,1,Yes,Yes,Yes,32,Male,United States of America
0,1,Yes,Yes,No,42,Male,United States of America
0,1,Yes,Yes,No,33,female,United States of America
0,1,I don't know,N/A,No,35,Male,United Kingdom
0,1,I don't know,No,No,24,M,Russia
0,1,Yes,Yes,No,29,Female or Multi-Gender Femme,United States of America
0,1,I don't know,I am not sure,No,29,Male,United States of America
0,1,Not eligible for coverage / N/A,N/A,No,24,Male,United Kingdom
0,1,I don't know,No,Yes,30,Male,Sweden
0,1,I don't know,No,No,30,male,United States of America
0,1,No,No,No,44,male,United States of America
0,1,Yes,I am not sure,No,37,Male,United Kingdom
0,1,No,No,No,28,Male,Germany
0,1,Yes,Yes,I don't know,42,Male,United States of America
0,1,Yes,No,No,30,female,United Kingdom
0,1,I don't know,I am not sure,No,36,m,Russia
0,1,I don't know,No,No,30,male,Russia
0,1,I don't know,No,No,29,Male,United States of America
0,1,I don't know,No,I don't know,25,male,United States of America
0,1,No,N/A,No,25,Male,Belgium
0,1,I don't know,I am not sure,No,24,Male,Russia
0,1,No,No,No,25,m,Russia
0,1,Yes,Yes,No,31,Male ,Denmark
0,1,Yes,No,No,37,M,Canada
0,1,I don't know,No,No,35,Male,United States of America
0,1,Not eligible for coverage / N/A,N/A,Yes,26,female,Spain
0,1,Yes,Yes,No,31,Male,United Kingdom
0,1,Yes,I am not sure,No,29,female,United States of America
0,1,I don't know,No,No,33,M,France
0,1,No,I am not sure,No,30,M,India
0,1,Yes,Yes,No,30,M,United States of America
0,1,Yes,Yes,No,29,female,United States of America
0,1,I don't know,No,No,25,Female,United States of America
0,0,Yes,Yes,Yes,27,Male,United States of America
0,1,Yes,I am not sure,No,26,Male,Germany
0,1,Yes,Yes,I don't know,38,Female,United States of America
0,1,Yes,Yes,Yes,49,Male,United States of America
0,1,Yes,Yes,No,30,Male,United States of America
1,,,,,34,male,France
0,1,No,No,No,31,male,Russia
1,,,,,29,Male,United States of America
0,1,No,No,No,31,m,Germany
0,1,Not eligible for coverage / N/A,I am not sure,Yes,34,male,Germany
0,1,I don't know,No,No,28,Male,United States of America
1,,,,,35,Female ,United Kingdom
0,1,I don't know,I am not sure,No,27,Male ,Germany
1,,,,,33,m,Germany
0,1,I don't know,I am not sure,No,37,Female,United States of America
0,1,Not eligible for coverage / N/A,N/A,Yes,45,Male,United Kingdom
0,1,No,N/A,No,31,woman,United States of America
0,0,No,I am not sure,No,36,M,United States of America
0,1,Yes,Yes,No,30,M,United States of America
0,1,Yes,Yes,Yes,33,female,United Arab Emirates
0,1,Yes,I am not sure,No,45,female,Canada
0,1,Yes,Yes,Yes,30,Female,United States of America
0,1,Yes,Yes,Yes,30,male,United States of America
1,,,,,29,Male,United States of America
0,0,No,Yes,Yes,36,Male,Mexico
0,1,Yes,Yes,Yes,28,Male,United States of America
0,1,Yes,I am not sure,I don't know,36,Male,United States of America
0,1,Yes,Yes,No,37,female,United States of America
0,1,Yes,I am not sure,No,29,Male,United States of America
0,1,Yes,Yes,I don't know,25,Male,United States of America
0,1,Yes,No,Yes,34,f,United States of America
0,0,Yes,Yes,Yes,37,M,Canada
0,1,Yes,Yes,No,40,Female,United States of America
0,1,Yes,Yes,Yes,32,Male,United States of America
0,1,I don't know,No,No,38,Male,United Kingdom
0,1,Yes,I am not sure,Yes,31,Female,United States of America
0,1,Yes,Yes,I don't know,28,female,United States of America
0,1,No,No,No,27,female,United Kingdom
0,1,Yes,Yes,No,28,female,United States of America
0,1,I don't know,Yes,No,26,Male,Germany
0,1,Yes,Yes,Yes,40,Male,United States of America
0,1,Yes,Yes,Yes,42,Male,United States of America
0,1,Yes,I am not sure,I don't know,36,Male,United States of America
1,,,,,44,male,United Kingdom
0,1,Yes,Yes,No,24,Male,United States of America
0,0,I don't know,I am not sure,No,44,Male,United States of America
0,1,Yes,I am not sure,I don't know,31,Male,United States of America
1,,,,,49,m,United States of America
0,1,Yes,No,Yes,27,female/woman,United States of America
0,1,Yes,I am not sure,I don't know,27,Cis male,United States of America
0,1,Yes,Yes,No,28,Male,United States of America
0,1,Yes,Yes,No,20,Female,United States of America
1,,,,,41,Male ,Germany
0,0,No,N/A,No,38,Male,Australia
0,1,I don't know,No,No,29,male,United States of America
0,1,Yes,No,No,44,f,United States of America
0,1,I don't know,I am not sure,No,31,Male.,United States of America
0,1,No,No,No,54,m,United States of America
0,1,I don't know,No,No,33,m,Germany
0,1,No,No,No,29,male,Netherlands
0,1,I don't know,I am not sure,No,26,Androgynous,United Kingdom
0,1,I don't know,No,Yes,26,male,United Kingdom
1,,,,,34,Male,United Kingdom
0,1,I don't know,No,No,38,Female,United States of America
0,1,No,No,No,30,Male,United Kingdom
1,,,,,34,Male,United Kingdom
0,1,Yes,I am not sure,No,47,F,Australia
0,0,Yes,I am not sure,Yes,33,Female,Switzerland
0,0,I don't know,N/A,No,22,Male,United Kingdom
0,1,Not eligible for coverage / N/A,N/A,No,28,"male 9:1 female, roughly",United Kingdom
0,1,Yes,Yes,Yes,31,m,United Kingdom
0,0,Not eligible for coverage / N/A,N/A,No,24,N/A,United Kingdom
0,0,No,I am not sure,No,56,m,Australia
1,,,,,57,F,Australia
0,1,I don't know,I am not sure,No,39,M,United States of America
0,1,No,No,I don't know,21,Male,United Kingdom
0,1,I don't know,No,No,31,female,Russia
1,,,,,63,Male,United States of America
1,,,,,46,male,Australia
0,1,I don't know,No,No,32,Female,United Kingdom
1,,,,,35,m,United Kingdom
0,1,Yes,I am not sure,Yes,34,Male,United Kingdom
0,1,Not eligible for coverage / N/A,N/A,No,35,male,United States of America
0,1,No,I am not sure,Yes,31,Male,Norway
1,,,,,35,F,United States of America
0,0,I don't know,No,No,36,Male,United States of America
0,1,Yes,I am not sure,No,50,Male,United States of America
0,1,I don't know,I am not sure,No,31,Male,United States of America
0,1,Yes,Yes,No,47,male,United States of America
0,1,I don't know,I am not sure,No,32,Female,Canada
0,1,Yes,Yes,No,23,Female,Canada
0,1,Yes,I am not sure,No,43,Female,Canada
0,1,Yes,Yes,No,26,Female,Canada
0,1,I don't know,I am not sure,No,26,female,Canada
0,1,Yes,Yes,Yes,55,Female,Canada
0,1,Yes,No,Yes,27,Male,Canada
0,1,Not eligible for coverage / N/A,No,No,34,Male,Argentina
0,1,No,N/A,No,25,Male,India
0,0,I don't know,No,No,35,male,United States of America
1,,,,,37,Male,Netherlands
0,1,Yes,I am not sure,No,38,Female,United States of America
0,1,Yes,No,No,29,male,Canada
0,1,Yes,Yes,Yes,28,Male,United Kingdom
