selfEmployed,employerTech,healthCoverage,mentalHealthCoverage,formal,age,gender,country
0,1,Yes,Yes,Yes,57,Female,Canada
0,1,Yes,Yes,No,29,male,United States of America
0,0,Yes,Yes,No,46,Male,United States of America
0,1,No,No,No,34,male,Norway
0,1,Yes,Yes,Yes,29,Ostensibly Male,United States of America
0,1,Yes,Yes,No,55,male,United States of America
0,1,Yes,Yes,No,29,Agender,Finland
0,1,Not eligible for coverage / NA,N/A,No,35,male,Poland
0,1,I don't know,No,No,33,"male, born with xy chromosoms",Russia
0,0,Yes,No,No,37,Male,United States of America
0,1,Yes,Yes,Yes,45,Male,United States of America
0,0,No,No,No,31,Male,Germany
1,,,,,38,Female,Canada
0,0,I don't know,No,No,26,Male,Germany
0,1,No,No,No,27,female,Serbia
0,0,Yes,No,No,35,Male,Canada
0,0,Yes,No,No,47,Male,United States of America
0,1,Yes,Yes,I don't know,37,Male,United States of America
0,0,No,No,No,32,Male,Colombia
1,,,,,46,Male,United Kingdom
0,1,Yes,No,No,37,Male,United States of America
0,1,Yes,Yes,I don't know,36,male,United States of America
1,,,,,29,Malel,Poland
0,1,Yes,No,No,45,Male,United States of America
0,0,I don't know,No,No,30,Male,United States of America
0,1,No,No,Yes,46,male,Germany
0,1,No,N/A,No,29,male,India
0,1,I don't know,N/A,No,26,male,Ukraine
1,,,,,26,Male,United States of America
0,1,I don't know,No,No,44,Male,Canada
0,1,Yes,No,No,32,Male,United States of America
0,1,I don't know,No,No,34,male,Poland
0,1,Yes,N/A,Yes,19,male,Australia
0,0,I don't know,No,No,38,M,United Kingdom
0,1,Not eligible for coverage / NA,N/A,No,61,Male,United States of America
0,1,Yes,Yes,No,44,Male,United States of America
1,,,,,32,Female ,United States of America
0,0,Yes,No,Yes,31,Male,Ireland
0,1,Yes,No,Yes,30,Female,United States of America
1,,,,,52,male,Italy
0,1,I don't know,No,No,44,male,United States of America
0,0,I don't know,Yes,No,39,Male,United States of America
1,,,,,36,Male,Spain
1,,,,,30,,Netherlands
0,0,I don't know,No,No,39,male,United States of America
0,1,Yes,Yes,Yes,33,male,United States of America
1,,,,,37,Male,United States of America
0,0,No,No,No,34,male,Estonia
0,1,No,No,Yes,28,Male,India
0,1,No,N/A,No,43,Female,Italy
0,1,I don't know,No,No,42,male,United States of America
0,0,Yes,Yes,I don't know,35,male,United States of America
0,1,Yes,Yes,Yes,28,female,United States of America
0,1,Yes,Yes,I don't know,37,male,United States of America
0,1,I don't know,Yes,No,35,female,United States of America
0,1,I don't know,No,No,31,male,United States of America
1,,,,,24,Male,United States of America
0,1,Yes,No,No,27,Female,United States of America
0,1,Yes,No,Yes,36,Male,United States of America
0,1,I don't know,No,No,33,male,United States of America
1,,,,,26,M,United States of America
0,0,Yes,Yes,Yes,26,Male,United States of America
0,0,I don't know,N/A,No,24,Male,United States of America
0,1,Yes,Yes,Yes,34,Male,United States of America
0,1,Yes,Yes,No,25,Male,United States of America
0,1,I don't know,No,No,19,female,United States of America
0,1,Yes,No,No,28,M,United States of America
0,1,Yes,Yes,No,26,male,United States of America
0,1,No,N/A,No,32,male,South Africa
0,0,I don't know,No,No,23,male,United States of America
0,0,Yes,Yes,Yes,46,M,United States of America
0,1,I don't know,No,No,28,Male,United States of America
1,,,,,38,MALE,Norway
0,1,I don't know,No,No,30,Female,United States of America
0,1,I don't know,No,No,26,Male,Brazil
0,1,Yes,Yes,No,37,Woman,Mauritius
0,1,Yes,Yes,Yes,35,Male,United States of America
0,0,Yes,Yes,Yes,26,Female,United States of America
0,1,Yes,Yes,Yes,29,Female,United Kingdom
0,1,Yes,Yes,I don't know,57,Male,United States of America
0,0,Yes,Yes,Yes,38,Male,United States of America
0,1,Yes,No,Yes,20,Female,United Kingdom
0,1,I don't know,No,No,41,M,United States of America
0,0,Yes,No,No,43,male,United States of America
0,1,Yes,Yes,No,35,Male,United States of America
0,1,I don't know,No,No,40,female,United States of America
0,0,I don't know,N/A,I don't know,28,male,Brazil
0,0,Yes,Yes,Yes,42,Male,United States of America
0,0,Yes,No,No,39,male,United States of America
0,0,Yes,Yes,I don't know,28,M,United States of America
0,1,No,No,No,22,m,India
0,1,Yes,Yes,No,29,woman,United States of America
1,,,,,45,Male,United States of America
0,1,No,No,No,27,Female,Saudi Arabia
0,0,I don't know,No,No,32,F,Germany
0,0,Yes,Yes,No,28,Male,United States of America
0,1,Yes,No,No,31,male,United States of America
1,,,,,28,Male,United States of America
0,0,No,No,No,24,f,Nigeria
0,0,Yes,Yes,Yes,27,Female,United States of America
0,1,Yes,Yes,Yes,36,f,Ireland
0,1,No,Yes,No,37,Male,United States of America
1,,,,,27,Female,Kenya
0,1,Yes,Yes,No,53,Female,United States of America
0,1,Not eligible for coverage / NA,N/A,No,32,Male,France
0,1,I don't know,No,No,25,I identify as female,United States of America
0,1,Not eligible for coverage / NA,N/A,No,29,*shrug emoji* (F),United States of America
0,1,Yes,No,No,47,Male,United States of America
1,,,,,36,Male,United States of America
0,0,Yes,No,No,61,Male,United States of America
0,1,Yes,No,No,28,male,United States of America
0,0,Yes,Yes,Yes,31,Male,United States of America
0,1,No,N/A,No,35,Male,Uruguay
0,1,I don't know,No,No,40,Male,United States of America
1,,,,,32,Male,United States of America
0,1,Yes,No,No,41,Male,United States of America
0,1,Yes,Yes,No,34,M,United States of America
0,1,I don't know,No,No,31,Female,United States of America
0,0,Yes,Yes,No,35,Female,United States of America
0,1,Yes,Yes,Yes,27,Female,United States of America
0,1,Yes,No,No,42,Female,United States of America
1,,,,,67,Female,United States of America
0,0,Yes,Yes,No,56,male,United States of America
0,1,Yes,No,No,27,Female,United States of America
0,1,Yes,No,No,37,Female,United Kingdom
1,,,,,40,Male,Serbia
0,1,Yes,Yes,Yes,30,Female,United Kingdom
0,1,Yes,No,I don't know,39,Male,United States of America
0,1,Not eligible for coverage / NA,N/A,No,30,Female,United States of America
0,1,I don't know,No,No,31,male,Netherlands
1,,,,,36,Male,Italy
0,1,Yes,Yes,No,46,Male,United Kingdom
0,1,Yes,Yes,Yes,45,Female,United States of America
1,,,,,25,male,Bangladesh
0,0,Not eligible for coverage / NA,N/A,No,38,f,United States of America
0,1,Yes,Yes,Yes,41,m,United States of America
0,1,Yes,Yes,I don't know,37,Male,United States of America
0,1,I don't know,No,No,33,female,United States of America
0,1,Yes,Yes,Yes,28,Nonbinary,United States of America
1,,,,,34,female,United States of America
0,1,Yes,Yes,No,29,f,Canada
